,Tweets,polarity,Negative,Neutral,Positive,Compound
0,"Edo commissioner abducted, orderly shot dead https://t.co/NqGSEoDwhu https://t.co/G7Ojcbcu5d","{'neg': 0.559, 'neu': 0.441, 'pos': 0.0, 'compound': -0.8225}",0.559,0.441,0.0,-0.8225
1,"RT @PamKeithFL: We’re up to 40,000 dead Americans. That’s 40,000 devastated families in two months. 

That’s more than the losses of the en…","{'neg': 0.36, 'neu': 0.64, 'pos': 0.0, 'compound': -0.9055}",0.36,0.64,0.0,-0.9055
2,"RT @minyoongijiminb: They run full speed into a dead end road and with ARMY they PAVED THEIR OWN WAY TO THE TOP OF THE TOP.

@BTS_twt #BANG…","{'neg': 0.133, 'neu': 0.711, 'pos': 0.157, 'compound': -0.0603}",0.133,0.711,0.157,-0.0603
3,"RT @nfcinereporter: His name was Muhammad Abdul Fattah Sattouf, he's dead on April 15 due to wounds sustained on Mar 3, due to explosion of…","{'neg': 0.152, 'neu': 0.848, 'pos': 0.0, 'compound': -0.6486}",0.152,0.848,0.0,-0.6486
4,"RT @amyyqin: “My father loved this country,” his son said. “He sacrificed his own health to develop its nuclear weapons.” 

Remembering tho…","{'neg': 0.0, 'neu': 0.843, 'pos': 0.157, 'compound': 0.5994}",0.0,0.843,0.157,0.5994
5,"RT @quillandaxe: There's a lot of rocks that
still need kickin over

Walking around them 
means the ground
remains dead

Clear the plot
so…","{'neg': 0.154, 'neu': 0.753, 'pos': 0.093, 'compound': -0.4019}",0.154,0.753,0.093,-0.4019
6,RT @buta_kimu_: PlayStation 4からブロードキャストを始めました！ #PS4live (DEAD OR SCHOOL)  live at https://t.co/xKEoloixP7,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
7,DOPE THEN FIRE THEN BST??????? DO THEY WANT ME DEAD???,"{'neg': 0.48, 'neu': 0.439, 'pos': 0.081, 'compound': -0.8105}",0.48,0.439,0.081,-0.8105
8,Almost two hours into my walk and I just stopped dead in my tracks. What is this!!!! Didn’t know it had arrived. Mu… https://t.co/JjaBvOQ1hO,"{'neg': 0.26, 'neu': 0.74, 'pos': 0.0, 'compound': -0.811}",0.26,0.74,0.0,-0.811
9,RT @ronthacreator: R&amp;B isn’t dead. Y’all just lazy music listeners.,"{'neg': 0.459, 'neu': 0.541, 'pos': 0.0, 'compound': -0.7783}",0.459,0.541,0.0,-0.7783
10,"@sgflash71 @richardmarx @RexChapman Be an adult, 35,000 Americans are dead.  Your guy knew was coming but played go… https://t.co/jcND1w7hXe","{'neg': 0.116, 'neu': 0.747, 'pos': 0.136, 'compound': 0.1154}",0.116,0.747,0.136,0.1154
11,RT @iChexo: Yet again I ask “why must we not speak ill of the dead” if they did no good whilst alive? As long as our rulers pretend to gove…,"{'neg': 0.102, 'neu': 0.677, 'pos': 0.221, 'compound': 0.6407}",0.102,0.677,0.221,0.6407
12,RT @teamMANNY_: You dead to me after you show me you not real,"{'neg': 0.264, 'neu': 0.736, 'pos': 0.0, 'compound': -0.6486}",0.264,0.736,0.0,-0.6486
13,"RT @ntvuganda: Burial is not an emergency, people in the village will conduct the funeral ceremony and you will find the dead body inside t…","{'neg': 0.219, 'neu': 0.71, 'pos': 0.07, 'compound': -0.6824}",0.219,0.71,0.07,-0.6824
14,You dead nosey smh https://t.co/VUPWEkHciB,"{'neg': 0.808, 'neu': 0.192, 'pos': 0.0, 'compound': -0.8126}",0.808,0.192,0.0,-0.8126
15,"@js_edit @nothing_dave 45*, FUX, R donors. They have no skin in the game. They want the workers to get back to work… https://t.co/oZgPKThlIi","{'neg': 0.094, 'neu': 0.851, 'pos': 0.055, 'compound': -0.2263}",0.094,0.851,0.055,-0.2263
16,"RT @William_Ukpe: Nigerian Politicians will literally force you to eat sand when they are in power

But when they die, a clique of worshipp…","{'neg': 0.151, 'neu': 0.849, 'pos': 0.0, 'compound': -0.5994}",0.151,0.849,0.0,-0.5994
17,Whoever made himself/herself present for the burial rite of Abba Kyari.... for neither being COVID-19 Task force sh… https://t.co/Bm3Ut5Twas,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
18,@JohnBrennan Your pants are on fire again. #44 &amp; Co. after waiting more than 6 MONTHS when 50 million citizens were… https://t.co/iKrIA9dcUI,"{'neg': 0.107, 'neu': 0.893, 'pos': 0.0, 'compound': -0.34}",0.107,0.893,0.0,-0.34
19,RT @pepesgrandma: Husband and wife lawyers that worked with Obama  found dead under 'suspicious circumstances' in Chicago area home https:/…,"{'neg': 0.274, 'neu': 0.726, 'pos': 0.0, 'compound': -0.7783}",0.274,0.726,0.0,-0.7783
20,@chewyuk @Natures_Voice I absolutely love them. Couple of weeks ago I came across one of a pair that have been a re… https://t.co/FnudaQ47rp,"{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.6697}",0.0,0.8,0.2,0.6697
21,"RT @von_Bismack: @aishambuhari Hope your daughter shares your thoughts also?.
For what is dead may never die. https://t.co/h26qIZ27f7","{'neg': 0.162, 'neu': 0.527, 'pos': 0.311, 'compound': 0.449}",0.162,0.527,0.311,0.449
22,"RT @dennisak: that if you confess with your mouth the Lord Jesus and believe in your heart that God has raised Him from the dead, you will…","{'neg': 0.137, 'neu': 0.796, 'pos': 0.067, 'compound': -0.4939}",0.137,0.796,0.067,-0.4939
23,RT @twdouns: et il t’a envoyé le screen tout en étant persuadé d’avoir dead ça,"{'neg': 0.309, 'neu': 0.691, 'pos': 0.0, 'compound': -0.7003}",0.309,0.691,0.0,-0.7003
24,@charliekirk11 @realDonaldTrump What good is giving money to small businesses when all its customers and dead broke?,"{'neg': 0.28, 'neu': 0.512, 'pos': 0.209, 'compound': -0.4215}",0.28,0.512,0.209,-0.4215
25,RT @LenGamesGun: Dead by Daylight เวอร์ชั่นมือถือเปิดให้เล่นแล้วนะทุกคนนน🧟‍♂️✨ เกมแนว Survival ที่หลายๆ คนน่าจะรู้จักดี เราได้ลองเล่นแล้ว…,"{'neg': 0.301, 'neu': 0.699, 'pos': 0.0, 'compound': -0.6486}",0.301,0.699,0.0,-0.6486
26,"RT @MinusTF2: When Scout finally finds out that Tom Jones is actually dead, what will he feel? Now he can be rich, but his idol (and ""fathe…","{'neg': 0.088, 'neu': 0.835, 'pos': 0.077, 'compound': -0.09}",0.088,0.835,0.077,-0.09
27,@mavisr @waltshaub Unfortunately satire is dead in trump's America. Life is now imitating art. https://t.co/IKS1H0bmxh,"{'neg': 0.34, 'neu': 0.66, 'pos': 0.0, 'compound': -0.7717}",0.34,0.66,0.0,-0.7717
28,RT @Omojuwa: Crying over another person’s death is like a dead body crying over a dead body. Celebrating another person’s death is like a d…,"{'neg': 0.51, 'neu': 0.293, 'pos': 0.196, 'compound': -0.9423}",0.51,0.293,0.196,-0.9423
29,"RT @Hbobrow1Hbobrow: Over 37K dead from Covid
Can’t say this enough times.
The FACTS are indisputable.
This could have been avoided.
Trumps…","{'neg': 0.251, 'neu': 0.749, 'pos': 0.0, 'compound': -0.7717}",0.251,0.749,0.0,-0.7717
30,RT @Ekoooooong_: dead tired. https://t.co/lcd2nfFFco,"{'neg': 0.706, 'neu': 0.294, 'pos': 0.0, 'compound': -0.802}",0.706,0.294,0.0,-0.802
31,RT @ThatBrightDude: Those dragging the government because of Funke Akindele being punished for disobeying social distancing and wants the g…,"{'neg': 0.136, 'neu': 0.864, 'pos': 0.0, 'compound': -0.4588}",0.136,0.864,0.0,-0.4588
32,RT @LenGamesGun: Dead by Daylight เวอร์ชั่นมือถือเปิดให้เล่นแล้วนะทุกคนนน🧟‍♂️✨ เกมแนว Survival ที่หลายๆ คนน่าจะรู้จักดี เราได้ลองเล่นแล้ว…,"{'neg': 0.301, 'neu': 0.699, 'pos': 0.0, 'compound': -0.6486}",0.301,0.699,0.0,-0.6486
33,"RT @briantylercohen: Trump just expressed more heartache for losing campaign rallies than he has for any of the 36,000+ dead Americans.","{'neg': 0.274, 'neu': 0.726, 'pos': 0.0, 'compound': -0.8}",0.274,0.726,0.0,-0.8
34,"RT @YemieFASH: Hello @NCDCgov, 

I have two question for you in respect of the attached images. 

1: Did you allow the families of other #C…","{'neg': 0.0, 'neu': 0.815, 'pos': 0.185, 'compound': 0.6124}",0.0,0.815,0.185,0.6124
35,"RT @TMafimisebi: JUSTICE FOR ADETOMIWA!!! 
We can no longer stay at home as we’ve been rendered homeless in the midst of lockdown. Hopefull…","{'neg': 0.078, 'neu': 0.744, 'pos': 0.178, 'compound': 0.5871}",0.078,0.744,0.178,0.5871
36,@UP10TION I’m dead,"{'neg': 0.683, 'neu': 0.317, 'pos': 0.0, 'compound': -0.6486}",0.683,0.317,0.0,-0.6486
37,RT @LenGamesGun: Dead by Daylight เวอร์ชั่นมือถือเปิดให้เล่นแล้วนะทุกคนนน🧟‍♂️✨ เกมแนว Survival ที่หลายๆ คนน่าจะรู้จักดี เราได้ลองเล่นแล้ว…,"{'neg': 0.301, 'neu': 0.699, 'pos': 0.0, 'compound': -0.6486}",0.301,0.699,0.0,-0.6486
38,"RT @adeyanjudeji: Dear @NCDCgov, 

I hope you will also start releasing the dead bodies of victims of COVID-19 to their families to pay las…","{'neg': 0.254, 'neu': 0.571, 'pos': 0.175, 'compound': -0.3612}",0.254,0.571,0.175,-0.3612
39,I AM DEAD DEAD,"{'neg': 0.896, 'neu': 0.104, 'pos': 0.0, 'compound': -0.8625}",0.896,0.104,0.0,-0.8625
40,"#しょと入力して少年とかショタとか少女とか処女が出たら変態見た人もやる
ショタのちんぽ博覧会","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
41,"#kemitalks
#BiafraExit

What China Will Do To Nigeria Now That Abba Kyari Is Dead – Nnamdi Kanu https://t.co/j6uRNEJbJO","{'neg': 0.212, 'neu': 0.788, 'pos': 0.0, 'compound': -0.6486}",0.212,0.788,0.0,-0.6486
42,RT @Datgreatnigga: What’s dead may never die https://t.co/y6LFXEjUVi,"{'neg': 0.32, 'neu': 0.446, 'pos': 0.234, 'compound': -0.2856}",0.32,0.446,0.234,-0.2856
43,"RT @YoungOtutu: Buharists who celebrated the death of  Diepreye Alamieyeseigha.

Friends of those who merried over the death of Umaru Yarad…","{'neg': 0.247, 'neu': 0.538, 'pos': 0.215, 'compound': -0.25}",0.247,0.538,0.215,-0.25
44,"RT @henryshield: It is ungodly to speak lies against the dead. If he was a good person, praise him and if he was bad, say it fearlessly. Sa…","{'neg': 0.264, 'neu': 0.522, 'pos': 0.214, 'compound': -0.4588}",0.264,0.522,0.214,-0.4588
45,@Dead_Again @VladKnopski Kannst du den Satz umformulieren? Verstehe ihn so nicht.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
46,"RT @nytimes: Alan T. Ortiz, a leading foreign policy expert who held prominent positions in the Philippine government, traveled to Paris in…","{'neg': 0.0, 'neu': 0.897, 'pos': 0.103, 'compound': 0.3182}",0.0,0.897,0.103,0.3182
47,RT @scottEweinberg: Couldn't visit him in the hospital. Couldn't say goodbye. Can't have a funeral. Can't have a Shiva house. My father is…,"{'neg': 0.0, 'neu': 0.905, 'pos': 0.095, 'compound': 0.2755}",0.0,0.905,0.095,0.2755
48,"RT @d_iawara: Le son leto zed ninho sa m’dead comment personne en parle, je crois le son il a déçu 96% des français 😭","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
49,Who says a Covid recession would mean more people dead? @UnHerd https://t.co/I8n0UEurna,"{'neg': 0.45, 'neu': 0.55, 'pos': 0.0, 'compound': -0.8115}",0.45,0.55,0.0,-0.8115
50,@shaaabjee @Kruti38388396 @KanganaTeam @FarahKhanAli A person who's spreading a disease that gets transmitted in ch… https://t.co/fTG9DyROpG,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
51,BLOOD SWEAT N TEARS IM DEAD ALREADY #BANGBANGGCON,"{'neg': 0.554, 'neu': 0.446, 'pos': 0.0, 'compound': -0.7351}",0.554,0.446,0.0,-0.7351
52,RT @norbalm: The dead will eventually talk...,"{'neg': 0.417, 'neu': 0.583, 'pos': 0.0, 'compound': -0.6486}",0.417,0.583,0.0,-0.6486
53,RT @KenDollsHouse_: Cut him off act like he dead now it’s killin him.,"{'neg': 0.339, 'neu': 0.529, 'pos': 0.132, 'compound': -0.5994}",0.339,0.529,0.132,-0.5994
54,"@cRaYKMr 堀北真希の妹派です ごめんな浜辺美波
それってもしかしてポルターガイスト","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
55,RT @jsolomonReports: Trump: 'We're going to get back' the stimulus payments IRS sent to dead people https://t.co/2jOs9K33Go,"{'neg': 0.212, 'neu': 0.788, 'pos': 0.0, 'compound': -0.6486}",0.212,0.788,0.0,-0.6486
56,@bubblegye0m you want me dead,"{'neg': 0.5, 'neu': 0.349, 'pos': 0.151, 'compound': -0.6124}",0.5,0.349,0.151,-0.6124
57,"RT @Sifill_LDF: ‘I lost the battle for my husband,’ widow of dead jail detainee says - Chicago Sun-Times https://t.co/5TN1EbCa4u","{'neg': 0.38, 'neu': 0.62, 'pos': 0.0, 'compound': -0.8481}",0.38,0.62,0.0,-0.8481
58,RT @BishopBarron: In today’s Gospel the risen Lord commissions the Apostles to proclaim the Good News. This commission to evangelize the pe…,"{'neg': 0.0, 'neu': 0.879, 'pos': 0.121, 'compound': 0.4404}",0.0,0.879,0.121,0.4404
59,RT @cbns007: @nytimes Presumed dead by COVID-19. https://t.co/OYlHZ8H1cP,"{'neg': 0.381, 'neu': 0.619, 'pos': 0.0, 'compound': -0.6486}",0.381,0.619,0.0,-0.6486
60,"@jidesanwoolu @MBuhari Abeg make una leave all this our leaders,the poor are been shot to death but no pity now tha… https://t.co/2pyHyEKzOU","{'neg': 0.397, 'neu': 0.603, 'pos': 0.0, 'compound': -0.8481}",0.397,0.603,0.0,-0.8481
61,@ms_sgc The joys of student houses. We had one in Sheffield that we had to paint top to toe before one of our frien… https://t.co/C63eXGOu9W,"{'neg': 0.0, 'neu': 0.821, 'pos': 0.179, 'compound': 0.6124}",0.0,0.821,0.179,0.6124
62,"RT @LindySmithMD: DO NOT THINK ABOUT OPENING UP RESTRICTIONS
@CMOH_Alberta will let us know when balance of risks vs. benefits = favourable…","{'neg': 0.089, 'neu': 0.802, 'pos': 0.11, 'compound': 0.128}",0.089,0.802,0.11,0.128
63,I dead ass has these in high school damn near 30yrs ago! 👀,"{'neg': 0.574, 'neu': 0.426, 'pos': 0.0, 'compound': -0.8955}",0.574,0.426,0.0,-0.8955
64,RT @ForestFriend__: Dead ass though 😔 https://t.co/s1JHrILlid,"{'neg': 0.661, 'neu': 0.339, 'pos': 0.0, 'compound': -0.8316}",0.661,0.339,0.0,-0.8316
65,Truth is even if u disrespect the dead u will still die. There is no correlation between the two. https://t.co/k48s9nMn9a,"{'neg': 0.463, 'neu': 0.456, 'pos': 0.081, 'compound': -0.8979}",0.463,0.456,0.081,-0.8979
66,"佇まいが似ている2人

#AbemaTVトーナメント","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
67,@BreitbartNews Can we do that for Cuomo in NY since he downplayed And said NY has best healthcare and what is happe… https://t.co/4YZy4d6COy,"{'neg': 0.0, 'neu': 0.84, 'pos': 0.16, 'compound': 0.6369}",0.0,0.84,0.16,0.6369
68,RT @DiscussingFilm: ‘GRAND THEFT AUTO 6’ is reportedly in early development. (Source: https://t.co/4xF2y7I6rJ) https://t.co/HrZb9ULMDy,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
69,RT @BillFletcherJr: The Head of the Postal Workers Union Says the Postal Service Could Be Dead in Three Months https://t.co/wAgdf6bGRh,"{'neg': 0.185, 'neu': 0.815, 'pos': 0.0, 'compound': -0.6486}",0.185,0.815,0.0,-0.6486
70,"RT @cchukudebelu: The idea of a single narrative of Nigeria, with certain people acting as ""gatekeepers"" with Western backing, is dead.

1.…","{'neg': 0.169, 'neu': 0.706, 'pos': 0.125, 'compound': -0.4767}",0.169,0.706,0.125,-0.4767
71,@BrainableYT @ATVIAssist My uncle is dead but damn my auntie is so damn hot i like her tits,"{'neg': 0.436, 'neu': 0.433, 'pos': 0.131, 'compound': -0.8154}",0.436,0.433,0.131,-0.8154
72,RT @LenGamesGun: Dead by Daylight เวอร์ชั่นมือถือเปิดให้เล่นแล้วนะทุกคนนน🧟‍♂️✨ เกมแนว Survival ที่หลายๆ คนน่าจะรู้จักดี เราได้ลองเล่นแล้ว…,"{'neg': 0.301, 'neu': 0.699, 'pos': 0.0, 'compound': -0.6486}",0.301,0.699,0.0,-0.6486
73,RT @LenGamesGun: Dead by Daylight เวอร์ชั่นมือถือเปิดให้เล่นแล้วนะทุกคนนน🧟‍♂️✨ เกมแนว Survival ที่หลายๆ คนน่าจะรู้จักดี เราได้ลองเล่นแล้ว…,"{'neg': 0.301, 'neu': 0.699, 'pos': 0.0, 'compound': -0.6486}",0.301,0.699,0.0,-0.6486
74,I dead ic 🤣🤣 https://t.co/RW2yuuGzvl,"{'neg': 0.589, 'neu': 0.411, 'pos': 0.0, 'compound': -0.6486}",0.589,0.411,0.0,-0.6486
75,"RT @nytimesarts: In 2007, Rolling Stone Brasil named his group Os Novos Baianos’s 1972 album, “Acabou Chorare,” the most important album in…","{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.2716}",0.0,0.909,0.091,0.2716
76,"@ImpeachmentHour This mfer already murdered millions people ,elderly died alone ,dead bodies in refrigerated trucks… https://t.co/XmokJBFndl","{'neg': 0.544, 'neu': 0.456, 'pos': 0.0, 'compound': -0.936}",0.544,0.456,0.0,-0.936
77,"Another 888 dead as UK’s coronavirus death toll passes 15,000

Read More on this:  https://t.co/RgIvQ38u7E
BREAKING https://t.co/XUtO7s9q2W","{'neg': 0.353, 'neu': 0.647, 'pos': 0.0, 'compound': -0.8481}",0.353,0.647,0.0,-0.8481
78,@GNev2 Dead man's shoes if you haven't already seen it. 👌,"{'neg': 0.323, 'neu': 0.677, 'pos': 0.0, 'compound': -0.6486}",0.323,0.677,0.0,-0.6486
79,RT @LenGamesGun: Dead by Daylight เวอร์ชั่นมือถือเปิดให้เล่นแล้วนะทุกคนนน🧟‍♂️✨ เกมแนว Survival ที่หลายๆ คนน่าจะรู้จักดี เราได้ลองเล่นแล้ว…,"{'neg': 0.301, 'neu': 0.699, 'pos': 0.0, 'compound': -0.6486}",0.301,0.699,0.0,-0.6486
80,"@firefoxx66 I think you are wrong - because if we wait for a science answer, loads of people will be dead.

Here is… https://t.co/LdW6ugAWMa","{'neg': 0.28, 'neu': 0.72, 'pos': 0.0, 'compound': -0.8126}",0.28,0.72,0.0,-0.8126
81,"RT @benzz_2: รีวิว Dead by Daylight Mobile
- objective เหมือนในคอมทุกอย่าง
- ด่านใหญ่เหมือนในคอม มีชั้นใต้ดินเหมือนในคอม
- มีปุ่มมองหลัง ไ…","{'neg': 0.264, 'neu': 0.736, 'pos': 0.0, 'compound': -0.6486}",0.264,0.736,0.0,-0.6486
82,"@bougie_blackie actually this is good
the only people i pity are the health workers
the rest can start dropping dead tomorrow","{'neg': 0.246, 'neu': 0.644, 'pos': 0.11, 'compound': -0.5574}",0.246,0.644,0.11,-0.5574
83,"RT @RitaAdubaBlog: If Abba kyari was the one blocking your Appointment in CBN and NNPC He is Dead now

If Abba kyari was the reason why you…","{'neg': 0.216, 'neu': 0.784, 'pos': 0.0, 'compound': -0.7845}",0.216,0.784,0.0,-0.7845
84,"RT @DerMotzmichel: #USA: More than 37.175 dead Americans but @POTUS wants to reopen because of Greed.

Right hand up who votes for this dan…","{'neg': 0.2, 'neu': 0.664, 'pos': 0.136, 'compound': -0.2574}",0.2,0.664,0.136,-0.2574
85,@Dtnsophiepresh @UchegbuBen U r dead??? And still haven't entered heaven cos u r still at the gate... Hmmmm,"{'neg': 0.386, 'neu': 0.614, 'pos': 0.0, 'compound': -0.8197}",0.386,0.614,0.0,-0.8197
86,"No body loves me
I sure am  ugly
I wish i was dead... https://t.co/y5wDiMxUCs","{'neg': 0.272, 'neu': 0.297, 'pos': 0.431, 'compound': 0.4939}",0.272,0.297,0.431,0.4939
87,@IngrahamAngle You know what else is piling up?  Dead bodies.,"{'neg': 0.323, 'neu': 0.677, 'pos': 0.0, 'compound': -0.6486}",0.323,0.677,0.0,-0.6486
88,"RT @HorrorCarnival: Gregory Nicotero is an American special make-up effects creator, television producer, and director. His first major job…","{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.4019}",0.0,0.87,0.13,0.4019
89,@h8Wankmaggot45 The tshirt is a dead give away. 🤣😂 poor kid.,"{'neg': 0.481, 'neu': 0.519, 'pos': 0.0, 'compound': -0.8126}",0.481,0.519,0.0,-0.8126
90,"RT @henryshield: It is ungodly to speak lies against the dead. If he was a good person, praise him and if he was bad, say it fearlessly. Sa…","{'neg': 0.264, 'neu': 0.522, 'pos': 0.214, 'compound': -0.4588}",0.264,0.522,0.214,-0.4588
91,Why do people love to act like a massive wanker automatically becomes a decent person just because they are dead? I… https://t.co/oG5KKAXDUm,"{'neg': 0.256, 'neu': 0.525, 'pos': 0.22, 'compound': -0.2732}",0.256,0.525,0.22,-0.2732
92,"RT @mattyglesias: The timeline, as I understand it, is that China covered up the extent of the problem for weeks and the WHO abetted it.

T…","{'neg': 0.101, 'neu': 0.899, 'pos': 0.0, 'compound': -0.4019}",0.101,0.899,0.0,-0.4019
93,BLOOD SWEAT AND TEARS IM FUCKING DEAD,"{'neg': 0.565, 'neu': 0.435, 'pos': 0.0, 'compound': -0.7574}",0.565,0.435,0.0,-0.7574
94,"@marklevinshow Everyone except for the sad group of brain dead lemmings who are going to vote for him, and we know that group is big","{'neg': 0.243, 'neu': 0.757, 'pos': 0.0, 'compound': -0.8126}",0.243,0.757,0.0,-0.8126
95,"RT @lorenzo3588: @Amy_Siskind Like I said previously, I don't know how much more I can stand of this. This is not the country my dead paren…","{'neg': 0.155, 'neu': 0.755, 'pos': 0.09, 'compound': -0.4215}",0.155,0.755,0.09,-0.4215
96,he had me dead affff 😂😂😂😂 https://t.co/OmSFSzmvNI,"{'neg': 0.417, 'neu': 0.583, 'pos': 0.0, 'compound': -0.6486}",0.417,0.583,0.0,-0.6486
97,RT @scottEweinberg: Couldn't visit him in the hospital. Couldn't say goodbye. Can't have a funeral. Can't have a Shiva house. My father is…,"{'neg': 0.0, 'neu': 0.905, 'pos': 0.095, 'compound': 0.2755}",0.0,0.905,0.095,0.2755
98,RT @mrjamesob: Utterly heartbreaking. https://t.co/ZxoCeU9pJU,"{'neg': 0.452, 'neu': 0.548, 'pos': 0.0, 'compound': -0.5095}",0.452,0.548,0.0,-0.5095
99,"RT @cchukudebelu: The idea of a single narrative of Nigeria, with certain people acting as ""gatekeepers"" with Western backing, is dead.

1.…","{'neg': 0.169, 'neu': 0.706, 'pos': 0.125, 'compound': -0.4767}",0.169,0.706,0.125,-0.4767
